Stimulus,odor.class,odor.class.source,dataset.assigned,transport.ML.odor.probability,many.feature.ML.odor.probability,boiling.point.experimental,boiling.point.estimate.EPISuite,boiling.point.estimate.Banks,boiling.point.estimate.Burnop,boiling.point.best.available,vapor.pressure.experimental,vapor.pressure.best.available
C(CCC(=O)O)CC(=O)O,Odorless,Lab-Tested,test,0.071347713470459,0.741702884435654,337.5,310.29,172.648793392765,176.064765151258,337.5,2.27e-07,2.27e-07
C(CCC)OC(C(C(O)(C(=O)OCCCC)CC(=O)OCCCC)C(C)=O)=O,Odorless,Lab-Tested,validation,0.0029442310333252,0.0018054842948913,,434.53,330.287077974235,431.78046658281,434.53,,1.26e-09
C(CCCCC(=O)O)CCCC(=O)O,Odor,PubChem,train,0.978938387706876,0.992490307427943,,360.05,226.603490729158,254.16209575612,360.05,1.1e-08,1.1e-08
C(CCCN)CCN,Odor,PubChem,train,0.997169528855011,0.999760723905638,205.0,191.79,133.28670864314,162.283507664262,205.0,0.118,0.118
C(CCCN=C=O)CCN=C=O,Odor,PubChem,train,0.793666824698448,0.961915999650955,255.0,237.27,196.306293704763,258.030845832969,255.0,0.05,0.05
C(CCCl)CCl,Odor,PubChem,train,0.998449980397709,0.99990705325763,161.0,150.61,148.629377170813,136.565250224893,161.0,4.13,4.13
C(CCN)CCN,Odor,PubChem,train,0.999476691882592,0.999804127248353,179.0,171.06,110.86488813297,137.480345645821,179.0,,1.01
C(CCN)CN,Odor,PubChem,train,0.998751203180291,0.999531448003836,158.5,149.42,84.974466050632,110.752823584117,158.5,,2.33
C(CCO)CO,Odorless,PubChem,train,0.0352882146835327,0.0313848853111267,235.0,195.56,88.8349682567961,63.8996803340932,235.0,0.0105,0.0105
C(CCl)C#N,Odor,PubChem,train,0.999859350064071,0.999588716920698,175.5,157.92,87.6426708250514,109.160895757423,175.5,,1.2
C(CCl)C(=O)O,Odor,PubChem,train,0.999935053259833,0.99897477007471,156.0,201.42,121.344351900847,105.834725362568,156.0,,1.98
C(CCl)C(F)(F)F,Odorless,PubChem,train,0.0267283320426941,0.0090256333351135,45.1,45.3,155.920275410744,135.853994340085,45.1,,355.0
C(CCl)CCl,Odor,PubChem,train,0.995845837984234,0.999825426217285,120.9,128.12,128.358738354697,110.529381652905,120.9,18.2,18.2
C(CCl)Cl,Odor,van Gemert 2011,train,0.997760384110734,0.999671267840313,83.5,104.72,105.208621148846,82.2342143731897,83.5,78.9,78.9
C(CCl)O,Odor,PubChem,train,0.999770332622575,0.999885950725002,128.6,129.64,69.0128079645688,41.3970903295449,128.6,7.18,7.18
C(CCl)OCCCl,Odor,PubChem,train,0.999649031640729,0.999860753508983,178.5,173.02,168.95617916174,161.643384878168,178.5,1.55,1.55
C(CCl)OP(=O)(OCCCl)OCCCl,Odorless,PubChem,train,0.0436690449714661,0.0266765356063843,349.0,351.67,280.541705318074,,349.0,1.6e-05,1.6e-05
C(CCl)SCCCl,Odor,van Gemert 2011,train,0.999625825934345,0.999850274427445,216.0,210.07,186.967876753806,,216.0,0.11,0.11
C(CN(CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O,Odorless,PubChem,train,0.0304171442985535,0.0035525560379028,,557.81,284.074054779407,373.133287909477,557.81,1.5e-12,1.5e-12
C(CN)CN,Odor,PubChem,train,0.995437484700233,0.999660966277588,139.8,126.88,54.5526881943124,81.9850921084432,139.8,,6.41
C(CN)CN(CCO)CCO,Odor,PubChem,train,0.33021467924118,0.901342131197453,,308.94,190.288258983202,227.772788547893,207.0,,9.85e-06
C(CN)CO,Odor,PubChem,train,0.285220682621002,0.997243764577433,187.5,151.48,56.8542714068904,55.2558449181187,187.5,0.0771,0.0771
C(CN)N,Odor,PubChem,train,0.994742981623858,0.999575437890599,117.0,103.44,18.0007042758387,51.3015562452771,117.0,12.0,12.0
C(CNCCN)N,Odor,PubChem,train,0.84260793030262,0.999500569014344,207.0,189.14,112.550662221939,162.218855516647,207.0,0.232,0.232
C(CNCCNCCN)N,Odor,PubChem,train,0.989028114825487,0.997747793793678,266.5,261.3,172.788148717018,248.046554982694,266.5,0.000412,0.000412
C(CNCCNCCNCCNCCN)N,Odor,PubChem,train,0.823731884360313,0.995327152311802,,366.69,248.808302501525,374.270228564845,366.69,,3.5e-06
C(CNCCO)N,Odor,PubChem,train,0.136387705802917,0.995359347667545,239.0,210.9,114.202819521718,138.168746405857,239.0,0.00819,0.00819
C(CO)C#N,Odor,PubChem,train,0.670864969491959,0.925406515598297,221.0,180.59,47.1728539474021,71.1192030779308,221.0,0.0802,0.0802
C(CO)C(CO)O,Odorless,van Gemert 2011,train,0.136930704116821,0.0083638429641723,312.0,248.66,117.458749645446,95.1814363644455,312.0,,1.56e-05
C(CO)CCl,Odor,PubChem,train,0.999876705405768,0.999917031615041,165.0,152.07,97.2177923889587,73.1947634334858,165.0,,0.577
C(CO)N,Odor,PubChem,train,0.900020234286785,0.996366064762697,170.8,129.03,20.7988448699361,21.4132346945456,170.8,0.404,0.404
C(CO)N(CCO)CCO,Odor,PubChem,train,0.286247074604034,0.874249309301376,335.4,310.26,176.162897385203,189.260912346117,335.4,3.59e-06,3.59e-06
